id,slug,title
627,rappel-express1,"Cours : Rappel-Express"
703,preparation-a-lagilite-par-le-jeu,"Cours : Préparation à l'agilité par le jeu"
3285,ethique-et-bien-etre-animal,"Séminaire : Éthique et bien-être animal"
5152,seminaire-prevention-morsures,"Prévention des morsures - Vivez-vous auprès d'une bombe à retardement ?"
6004,cours-en-marche1,"Cours : Sans Tension! - votre cours sur la marche en laisse"
8823,webinaire-questions-et-reponses-sur-le-rappel,"Webinaire - Questions et Réponses sur le Rappel !"
8872,cours-focus-denfer,"Cours : Focus d'Enfer! votre cours sur les jeux d'attention"
9673,seminaire-biais-cognitifs-illogismes-et-persuasion,"Séminaire : Biais cognitifs, illogismes et persuasion!"
11113,cours-trucs-et-tours,"Cours : Trucs et Tours! Intro au leurre, au shaping et à la fantaisie"
12228,webinaire-les-pieges-a-eviter-avec-un-nouveau-chiot,"Webinaire - Les pièges à éviter avec un nouveau chiot"
13144,seminaire-jaime-ma-cage,"Séminaire : J'aime ma Cage!"
13222,webinaire-questions-reponses-sur-la-reactivite,"Webinaire : Chien réactif ? Les 3 erreurs que vous faites (sans même vous en rendre compte) ! (ancien)"
14814,webinaire-horreur-mon-chien-tire,"Webinaire - Horreur, mon chien tire!"
16151,seminaire-le-canicross-et-les-sports-atteles,"Séminaire : Le canicross et les sports attelés"
20059,harmonie-le-seminaire-sur-la-maisonnee-multi-chiens,"Séminaire - Harmonie pour la maisonnée multi-chiens"
21450,webinaire-productivite,"Webinaire Pro - Productivité et organisation pour les professionnels du monde canin"
32487,,"Séminaire : Le guide complet sur le canicross et les sports canins attelés"
37908,,"Mini-séminaire pro - Le Mantrailing : le flair dans tous ses états"
50910,colloque-francophone-sur-le-comportement-animal-canin-ete-2020,"Colloque Francophone sur le Comportement Animal & Canin - Été 2020"
56306,,"Séminaire : Techniques créatives d'intervention canine «volées» au comportement aviaire"
59899,mini-seminaire-la-mastication-macher-pour-resoudre-certains-problemes-de-comportement,"Webinaire - La mastication chez le chien : les 5 erreurs courantes"
65961,mini-seminaire-la-socialisation-du-chiot-un-cauchemar-en-temps-de-pandemie,"Webinaire : La socialisation du chiot - Un cauchemar en temps de pandémie"
66237,colloque-francophone-sur-le-comportement-animal-et-canin-edition-2021,"Colloque Francophone sur le Comportement Animal et Canin - Édition 2021"
71132,en-direct-mon-chien-mon-athlete-3-jours-de-conferences,"En direct : Mon chien, mon athlète – 3 jours de conférences"
74161,conference-gratuite-venir-a-bout-des-jappements-de-votre-chien,"Conférence GRATUITE - Venir à bout des jappements de votre chien !"
75668,cfcac-2022,"CFCAC 2022 : Peur & agression chez le chien : 4 jours de formation pour aider les chiens à problèmes"
78931,conference-en-direct-mon-chien-a-mordu-je-fais-quoi-maintenant,"Webinaire - Mon chien a mordu, je fais quoi maintenant ? (ancien)"
79011,,"Séminaire : Le fitness canin - Les fondations du chiot au chien âgé"
80054,conference-en-direct-promenades-et-rappel-diminuer-la-frustration-et-ameliorer-le-bien-etre-du-chien,"Conférence en direct : Promenades en laisse et rappel - De la frustration à l'harmonie"
84265,,"Webinaire : Chien réactif ? Les 3 erreurs que vous faites (sans même vous en rendre compte) ! (2)"
89094,cfcac-2023,"CFCAC 2023 [Édition Spéciale] 5 jours de formations avancées pour les professionnels et passionnés du domaine animal !"
95243,seminaire-pratique-virtuel-mon-chien-de-berger-incompris-2,"[Séminaire pratique virtuel] : Mon chien de berger incompris"
96057,,"Webinaire - L'intervenant du futur : les consultations par visioconférence ! V2"
96096,,"Webinaire - Comment résoudre le casse-tête de vos finances ?"
100574,,"Mini-séminaire pro - Comment résoudre le casse-tête de vos finances? (V2)"
100730,,"Séminiare : Réduction du stress en milieu clinique (V2)"
100750,,"Webinaire - Le chaînon manquant (V2)"
103991,7-conferences-comportement-canin,"Pack de 7 conférences inédites sur le comportement canin"
107781,cfcac-2024-edition-speciale-6-jours-de-formations-avancees-pour-les-professionnels-et-passionnes-du-domaine-animal,"CFCAC 2024 [Édition Spéciale] 6 jours de formations avancées pour les professionnels et passionnés du domaine animal !"
115158,,dsafagdsafdsa
